name,team,league,position,role,overall,minutes,90s
Ryan Christie,Bournemouth,eng Premier League,MF,Box-to-box Midfielder,51.4,2117,23.5
Manuel Akanji,Manchester City,eng Premier League,DF,Defensive Centre-back,51.3,2014,22.4
Iván Sánchez,Valladolid,es La Liga,MF,Box-to-box Midfielder,51.3,1404,15.6
Jeffrey Gouweleeuw,Augsburg,de Bundesliga,DF,Defensive Centre-back,51.2,2944,32.7
Diego López,Valencia,es La Liga,MF,Wide Midfielder / Winger,51.2,2737,30.4
Nnamdi Collins,Eint Frankfurt,de Bundesliga,DF,Ball-playing Centre-back,51.1,1489,16.5
Samuele Vignato,Monza,it Serie A,MF,Defensive Midfielder,51.1,470,5.2
Folarin Balogun,Monaco,fr Ligue 1,FW,Clinical Striker,51.0,615,6.8
Teddy Teuma,Reims,fr Ligue 1,MF,Ball-winning Midfielder,51.0,750,8.3
Niklas Dorsch,Heidenheim,de Bundesliga,MF,Ball-winning Midfielder,50.8,1335,14.8
Abdukodir Khusanov,Lens,fr Ligue 1,DF,Defensive Centre-back,50.8,975,10.8
Danilho Doekhi,Union Berlin,de Bundesliga,DF,Defensive Centre-back,50.8,3060,34.0
Riccardo Sottil,Fiorentina,it Serie A,FW,Wide Midfielder / Winger,50.7,833,9.3
Martin Erlic,Bologna,it Serie A,DF,Defensive Centre-back,50.7,334,3.7
Micky van de Ven,Tottenham,eng Premier League,DF,Defensive Centre-back,50.6,1015,11.3
Yorbe Vertessen,Union Berlin,de Bundesliga,MF,Wide Midfielder / Winger,50.6,718,8.0
Tanner Tessmann,Lyon,fr Ligue 1,MF,Ball-winning Midfielder,50.6,1234,13.7
Matthis Abline,Nantes,fr Ligue 1,FW,Target Man / Physical Striker,50.6,2768,30.8
Andy Delort,Montpellier,fr Ligue 1,FW,Target Man / Physical Striker,50.6,607,6.7
Pathé Ciss,Rayo Vallecano,es La Liga,MF,Ball-winning Midfielder,50.6,2140,23.8
Bernardo Silva,Manchester City,eng Premier League,MF,Box-to-box Midfielder,50.5,2670,29.7
Pablo Barrios,Atlético Madrid,es La Liga,MF,Ball-winning Midfielder,50.5,2330,25.9
Raúl Moro,Valladolid,es La Liga,MF,Wide Midfielder / Winger,50.4,2341,26.0
Koji Miyoshi,Bochum,de Bundesliga,FW,Wide Midfielder / Winger,50.3,464,5.2
Khvicha Kvaratskhelia,Napoli,it Serie A,FW,Creative Attacking Midfielder,50.3,1178,13.1
Ronald Araújo,Barcelona,es La Liga,DF,Ball-playing Centre-back,50.3,754,8.4
Yvann Macon,Saint-Étienne,fr Ligue 1,DF,Defensive Midfielder,50.3,790,8.8
Georginio Rutter,Brighton,eng Premier League,MF,Wide Midfielder / Winger,50.3,1656,18.4
Sebastiano Esposito,Empoli,it Serie A,FW,Wide Midfielder / Winger,50.2,2331,25.9
Endrick,Real Madrid,es La Liga,FW,Clinical Striker,50.2,363,4.0
Ado Onaiwu,Auxerre,fr Ligue 1,MF,Clinical Striker,50.2,957,10.6
Lorenzo Colombo,Empoli,it Serie A,FW,Target Man / Physical Striker,50.2,2233,24.8
Jefferson Lerma,Crystal Palace,eng Premier League,MF,Defensive Midfielder,50.2,2274,25.3
João Gomes,Wolves,eng Premier League,MF,Ball-winning Midfielder,50.1,2974,33.0
Valentin Atangana Edoa,Reims,fr Ligue 1,MF,Defensive Midfielder,50.0,2854,31.7
Kilian Fischer,Wolfsburg,de Bundesliga,DF,Ball-playing Centre-back,50.0,2297,25.5
Fermin López,Barcelona,es La Liga,MF,Creative Attacking Midfielder,49.9,1252,13.9
Nico Elvedi,Gladbach,de Bundesliga,DF,Defensive Centre-back,49.9,2135,23.7
Tom Cairney,Fulham,eng Premier League,MF,Box-to-box Midfielder,49.9,628,7.0
Bence Dárdai,Wolfsburg,de Bundesliga,MF,Defensive Midfielder,49.9,1304,14.5
Oier Zarraga,Udinese,it Serie A,MF,Defensive Midfielder,49.8,896,10.0
Frederik Rønnow,Union Berlin,de Bundesliga,GK,Goalkeeper,49.8,2520,28.0
Yoann Salmier,Le Havre,fr Ligue 1,DF,Defensive Centre-back,49.8,797,8.9
Alejo Véliz,Espanyol,es La Liga,FW,Target Man / Physical Striker,49.7,1127,12.5
Răzvan Marin,Cagliari,it Serie A,MF,Box-to-box Midfielder,49.7,1406,15.6
Ismaël Koné,Rennes,fr Ligue 1,MF,Box-to-box Midfielder,49.7,469,5.2
Enzo Loiodice,Las Palmas,es La Liga,MF,Ball-winning Midfielder,49.7,684,7.6
Kepa Arrizabalaga,Bournemouth,eng Premier League,GK,Goalkeeper,49.7,2790,31.0
Konstantinos Mavropanos,West Ham,eng Premier League,DF,Defensive Centre-back,49.7,2045,22.7
Mert Kömür,Augsburg,de Bundesliga,MF,Wide Midfielder / Winger,49.6,654,7.3
Derrick Köhn,Werder Bremen,de Bundesliga,DF,Fullback / Wing-back,49.6,1343,14.9
Konan N'dri,Lecce,it Serie A,FW,Wide Midfielder / Winger,49.6,306,3.4
Jesper Karlsson,Lecce,it Serie A,FW,Wide Midfielder / Winger,49.5,495,5.5
Nicolás Tagliafico,Lyon,fr Ligue 1,DF,Ball-winning Midfielder,49.5,1902,21.1
Breel Embolo,Monaco,fr Ligue 1,FW,Clinical Striker,49.5,1841,20.5
Jorge Sáenz,Leganés,es La Liga,DF,Defensive Centre-back,49.5,1690,18.8
Vanderson,Monaco,fr Ligue 1,DF,Ball-winning Midfielder,49.4,2064,22.9
Harvey Barnes,Newcastle Utd,eng Premier League,FW,Creative Attacking Midfielder,49.4,1755,19.5
Jonathan Gradit,Lens,fr Ligue 1,DF,Defensive Centre-back,49.4,2112,23.5
Tomáš Souček,West Ham,eng Premier League,MF,Target Man / Physical Striker,49.4,2567,28.5
Gonçalo Ramos,Paris S-G,fr Ligue 1,FW,Clinical Striker,49.3,1066,11.8
César Tárrega,Valencia,es La Liga,DF,Defensive Centre-back,49.3,3026,33.6
Romain Faivre,Brest,fr Ligue 1,MF,Wide Midfielder / Winger,49.3,899,10.0
Moritz Broschinski,Bochum,de Bundesliga,FW,Wide Midfielder / Winger,49.3,1390,15.4
Nicolas Viola,Cagliari,it Serie A,FW,Wide Midfielder / Winger,49.3,1267,14.1
Miguel,Leganés,es La Liga,FW,Target Man / Physical Striker,49.2,1724,19.2
Jaime Mata,Las Palmas,es La Liga,FW,Target Man / Physical Striker,49.2,656,7.3
André Ayew,Le Havre,fr Ligue 1,FW,Target Man / Physical Striker,49.2,1453,16.1
Guillermo Maripán,Torino,it Serie A,DF,Defensive Centre-back,49.2,2340,26.0
Andreas Hanche-Olsen,Mainz 05,de Bundesliga,DF,Defensive Centre-back,49.1,1284,14.3
Jonas Wind,Wolfsburg,de Bundesliga,FW,Target Man / Physical Striker,49.1,1966,21.8
Karol Linetty,Torino,it Serie A,MF,Defensive Midfielder,49.1,1540,17.1
Lorenzo Pellegrini,Roma,it Serie A,MF,Wide Midfielder / Winger,49.0,1626,18.1
Stefan Bell,Mainz 05,de Bundesliga,DF,Defensive Centre-back,49.0,1436,16.0
Domagoj Bradarić,Hellas Verona,it Serie A,DF,Defensive Midfielder,49.0,1933,21.5
Thomas Meunier,Lille,fr Ligue 1,DF,Ball-winning Midfielder,48.9,1928,21.4
Jailson Siqueira,Celta Vigo,es La Liga,DF,Defensive Centre-back,48.9,614,6.8
Dan Burn,Newcastle Utd,eng Premier League,DF,Defensive Centre-back,48.9,3330,37.0
Adam Obert,Cagliari,it Serie A,DF,Ball-winning Midfielder,48.9,1077,12.0
Luis Milla,Getafe,es La Liga,MF,Ball-winning Midfielder,48.8,2875,31.9
Takefusa Kubo,Real Sociedad,es La Liga,MF,Wide Midfielder / Winger,48.7,2372,26.4
Randy Nteka,Rayo Vallecano,es La Liga,FW,Target Man / Physical Striker,48.7,1129,12.5
Rasmus Nicolaisen,Toulouse,fr Ligue 1,DF,Defensive Centre-back,48.7,623,6.9
Florian Wirtz,Leverkusen,de Bundesliga,MF,Creative Attacking Midfielder,48.7,2351,26.1
Kévin Danois,Auxerre,fr Ligue 1,MF,Ball-winning Midfielder,48.6,1460,16.2
Antonio Sanabria,Torino,it Serie A,FW,Target Man / Physical Striker,48.6,1318,14.6
Julián Malatini,Werder Bremen,de Bundesliga,DF,Ball-playing Centre-back,48.5,454,5.0
Jordan James,Rennes,fr Ligue 1,MF,Ball-winning Midfielder,48.5,1178,13.1
André Silva,Werder Bremen,de Bundesliga,FW,Clinical Striker,48.4,375,4.2
Tijjani Noslin,Lazio,it Serie A,FW,Target Man / Physical Striker,48.4,861,9.6
Soumaïla Coulibaly,Brest,fr Ligue 1,DF,Defensive Centre-back,48.3,438,4.9
Nicolò Zaniolo,Atalanta,it Serie A,FW,Creative Attacking Midfielder,48.2,356,4.0
James Mcatee,Manchester City,eng Premier League,MF,Clinical Striker,48.2,349,3.9
Maximilian Eggestein,Freiburg,de Bundesliga,MF,Defensive Midfielder,48.2,2845,31.6
Marc-Oliver Kempf,Como,it Serie A,DF,Defensive Centre-back,48.1,2615,29.1
Gerard Martín,Barcelona,es La Liga,DF,Fullback / Wing-back,48.1,1038,11.5
Nicolas Jackson,Chelsea,eng Premier League,FW,Clinical Striker,48.1,2220,24.7
Mahmoud Dahoud,Eint Frankfurt,de Bundesliga,MF,Box-to-box Midfielder,48.1,364,4.0
Kevin Stöger,Gladbach,de Bundesliga,MF,Box-to-box Midfielder,48.1,1551,17.2
Alessio Zerbin,Venezia,it Serie A,DF,Fullback / Wing-back,48.1,1518,16.9
Baptiste Santamaria,Nice,fr Ligue 1,MF,Ball-winning Midfielder,48.0,927,10.3
Steven Skrzybski,Holstein Kiel,de Bundesliga,MF,Wide Midfielder / Winger,48.0,1323,14.7
Junior Sambia,Empoli,it Serie A,DF,Fullback / Wing-back,47.9,387,4.3
Mama Samba Baldé,Brest,fr Ligue 1,FW,Wide Midfielder / Winger,47.9,1149,12.8
Mateo Retegui,Atalanta,it Serie A,FW,Clinical Striker,47.7,2383,26.5
James Tarkowski,Everton,eng Premier League,DF,Defensive Centre-back,47.7,2922,32.5
Ibrahim Sissoko,Saint-Étienne,fr Ligue 1,FW,Target Man / Physical Striker,47.7,819,9.1
Gerard Moreno,Villarreal,es La Liga,FW,Creative Attacking Midfielder,47.7,721,8.0
Philipp Hofmann,Bochum,de Bundesliga,FW,Target Man / Physical Striker,47.6,2277,25.3
Nicolás Paz,Como,it Serie A,MF,Creative Attacking Midfielder,47.6,2687,29.9
Moritz Jenz,Mainz 05,de Bundesliga,DF,Defensive Centre-back,47.5,1600,17.8
Leonidas Stergiou,Stuttgart,de Bundesliga,DF,Ball-playing Centre-back,47.5,852,9.5
Sebastiano Luperto,Cagliari,it Serie A,DF,Defensive Centre-back,47.4,3240,36.0
Lucas Mincarelli,Montpellier,fr Ligue 1,DF,Defensive Midfielder,47.4,715,7.9
Robert Andrich,Leverkusen,de Bundesliga,MF,Defensive Midfielder,47.3,1598,17.8
Florian Sotoca,Lens,fr Ligue 1,FW,Wide Midfielder / Winger,47.3,1794,19.9
Niklas Süle,Dortmund,de Bundesliga,DF,Defensive Centre-back,47.3,1053,11.7
Giovanni Simeone,Napoli,it Serie A,FW,Clinical Striker,47.2,419,4.7
Aurélien Tchouaméni,Real Madrid,es La Liga,DF,Defensive Centre-back,47.1,2689,29.9
Lautaro Martínez,Inter,it Serie A,FW,Clinical Striker,47.1,2474,27.5
Amine Salama,Reims,fr Ligue 1,FW,Wide Midfielder / Winger,47.0,373,4.1
Rolando Mandragora,Fiorentina,it Serie A,MF,Box-to-box Midfielder,47.0,1856,20.6
Pablo Torre,Barcelona,es La Liga,MF,Creative Attacking Midfielder,46.9,310,3.4
Cucho,Betis,es La Liga,FW,Clinical Striker,46.8,1139,12.7
Lorenzo De Silvestri,Bologna,it Serie A,DF,Defensive Midfielder,46.8,1060,11.8
Paul Nebel,Mainz 05,de Bundesliga,MF,Wide Midfielder / Winger,46.8,2345,26.1
Hans Hateboer,Rennes,fr Ligue 1,DF,Defensive Centre-back,46.8,1684,18.7
Ridgeciano Haps,Venezia,it Serie A,DF,Defensive Midfielder,46.8,1369,15.2
Kirian Rodríguez,Las Palmas,es La Liga,MF,Ball-winning Midfielder,46.8,1758,19.5
Lassine Sinayoko,Auxerre,fr Ligue 1,FW,Wide Midfielder / Winger,46.8,2299,25.5
Beñat Prados,Athletic Club,es La Liga,MF,Ball-winning Midfielder,46.7,1715,19.1
Mathias Honsak,Heidenheim,de Bundesliga,FW,Wide Midfielder / Winger,46.7,1181,13.1
Mamadou Diakhon,Reims,fr Ligue 1,FW,Wide Midfielder / Winger,46.6,858,9.5
Ridle Baku,RB Leipzig,de Bundesliga,DF,Fullback / Wing-back,46.6,1275,14.2
Matúš Bero,Bochum,de Bundesliga,MF,Box-to-box Midfielder,46.5,2565,28.5
Corentin Tolisso,Lyon,fr Ligue 1,MF,Box-to-box Midfielder,46.5,2329,25.9
Romain Perraud,Betis,es La Liga,DF,Fullback / Wing-back,46.5,2002,22.2
David López,Girona,es La Liga,DF,Defensive Centre-back,46.4,2429,27.0
Federico Valverde,Real Madrid,es La Liga,MF,Box-to-box Midfielder,46.4,3032,33.7
Oliver McBurnie,Las Palmas,es La Liga,FW,Target Man / Physical Striker,46.3,1837,20.4
Gavi,Barcelona,es La Liga,MF,Ball-winning Midfielder,46.2,1085,12.1
Tom Bischof,Hoffenheim,de Bundesliga,MF,Box-to-box Midfielder,46.2,2559,28.4
Rayan Cherki,Lyon,fr Ligue 1,FW,Creative Attacking Midfielder,46.2,2041,22.7
Oliver Burke,Werder Bremen,de Bundesliga,FW,Clinical Striker,46.1,908,10.1
Lucas Höler,Freiburg,de Bundesliga,FW,Target Man / Physical Striker,46.1,1867,20.7
Arne Maier,Augsburg,de Bundesliga,MF,Box-to-box Midfielder,46.1,938,10.4
Victor Boniface,Leverkusen,de Bundesliga,FW,Clinical Striker,46.0,1008,11.2
Robin Le Normand,Atlético Madrid,es La Liga,DF,Defensive Centre-back,46.0,2151,23.9
Milan Škriniar,Paris S-G,fr Ligue 1,DF,Defensive Centre-back,45.9,382,4.2
Jacob Greaves,Ipswich Town,eng Premier League,DF,Defensive Centre-back,45.9,2205,24.5
Paulo Azzi,Cagliari,it Serie A,DF,Fullback / Wing-back,45.9,426,4.7
Mikael Ellertsson,Venezia,it Serie A,DF,Defensive Midfielder,45.9,2470,27.4
Rafael Leão,Milan,it Serie A,FW,Creative Attacking Midfielder,45.8,2323,25.8
Brais Méndez,Real Sociedad,es La Liga,MF,Wide Midfielder / Winger,45.8,1531,17.0
Morgan Rogers,Aston Villa,eng Premier League,FW,Wide Midfielder / Winger,45.8,3114,34.6
Mikel Merino,Arsenal,eng Premier League,MF,Wide Midfielder / Winger,45.8,1586,17.6
Son Heung-min,Tottenham,eng Premier League,FW,Creative Attacking Midfielder,45.8,2110,23.4
James Maddison,Tottenham,eng Premier League,MF,Creative Attacking Midfielder,45.8,1809,20.1
Sepp van den Berg,Brentford,eng Premier League,DF,Defensive Centre-back,45.7,2586,28.7
Sebastian Nanasi,Strasbourg,fr Ligue 1,MF,Wide Midfielder / Winger,45.6,2107,23.4
Seko Fofana,Rennes,fr Ligue 1,MF,Box-to-box Midfielder,45.6,844,9.4
Joško Gvardiol,Manchester City,eng Premier League,DF,Ball-winning Midfielder,45.6,3277,36.4
Hugo Álvarez,Celta Vigo,es La Liga,MF,Wide Midfielder / Winger,45.6,1572,17.5
Yann Aurel Bisseck,Inter,it Serie A,DF,Ball-playing Centre-back,45.5,1553,17.3
Dylan Batubinsika,Saint-Étienne,fr Ligue 1,DF,Defensive Centre-back,45.5,2016,22.4
Abel,Osasuna,es La Liga,DF,Defensive Midfielder,45.4,2074,23.0
Juan David Cabal,Juventus,it Serie A,DF,Defensive Centre-back,45.4,460,5.1
Paulo Dybala,Roma,it Serie A,FW,Creative Attacking Midfielder,45.3,1417,15.7
Arda Güler,Real Madrid,es La Liga,MF,Creative Attacking Midfielder,45.3,1250,13.9
Lukas Kübler,Freiburg,de Bundesliga,DF,Ball-playing Centre-back,45.3,1842,20.5
Hákon Arnar Haraldsson,Lille,fr Ligue 1,MF,Wide Midfielder / Winger,45.3,1755,19.5
Tajon Buchanan,Villarreal,es La Liga,MF,Wide Midfielder / Winger,45.3,416,4.6
Aridane Hernández,Rayo Vallecano,es La Liga,DF,Defensive Centre-back,45.2,1025,11.4
Sergio Carreira,Celta Vigo,es La Liga,MF,Defensive Midfielder,45.2,1656,18.4
Edu Expósito,Espanyol,es La Liga,MF,Box-to-box Midfielder,45.1,1045,11.6
Daichi Kamada,Crystal Palace,eng Premier League,MF,Ball-winning Midfielder,45.1,1564,17.4
Andreas Pereira,Fulham,eng Premier League,MF,Box-to-box Midfielder,45.1,2013,22.4
Samu Costa,Mallorca,es La Liga,MF,Ball-winning Midfielder,45.1,2649,29.4
Nahuel Tenaglia,Alavés,es La Liga,DF,Defensive Midfielder,45.0,2922,32.5
Florian Neuhaus,Gladbach,de Bundesliga,MF,Box-to-box Midfielder,45.0,382,4.2
Rodrigo Bentancur,Tottenham,eng Premier League,MF,Ball-winning Midfielder,44.9,1645,18.3
Issa Soumaré,Le Havre,fr Ligue 1,FW,Wide Midfielder / Winger,44.8,1902,21.1
Nathan Tella,Leverkusen,de Bundesliga,MF,Wide Midfielder / Winger,44.8,1359,15.1
Leonardo Balerdi,Marseille,fr Ligue 1,DF,Defensive Centre-back,44.7,2273,25.3
Brenner,Udinese,it Serie A,MF,Wide Midfielder / Winger,44.6,386,4.3
Adam Webster,Brighton,eng Premier League,DF,Defensive Centre-back,44.6,887,9.9
Valentin Mihaila,Parma,it Serie A,FW,Wide Midfielder / Winger,44.5,1288,14.3
Mehdi Taremi,Inter,it Serie A,FW,Target Man / Physical Striker,44.5,807,9.0
Michail Antonio,West Ham,eng Premier League,FW,Wide Midfielder / Winger,44.5,836,9.3
Nicolò Savona,Juventus,it Serie A,DF,Ball-playing Centre-back,44.5,1724,19.2
Thomas Partey,Arsenal,eng Premier League,MF,Ball-winning Midfielder,44.5,2797,31.1
Mika Biereth,Monaco,fr Ligue 1,FW,Clinical Striker,44.5,1228,13.6
Wilfred Ndidi,Leicester City,eng Premier League,MF,Defensive Midfielder,44.4,2324,25.8
Javi Rodríguez,Celta Vigo,es La Liga,DF,Ball-playing Centre-back,44.3,2514,27.9
Karim Adeyemi,Dortmund,de Bundesliga,FW,Creative Attacking Midfielder,44.2,1433,15.9
Raphaël Guerreiro,Bayern Munich,de Bundesliga,DF,Box-to-box Midfielder,44.2,1572,17.5
Ante Rebić,Lecce,it Serie A,FW,Wide Midfielder / Winger,44.2,788,8.8
Timothee Pembele,Le Havre,fr Ligue 1,DF,Defensive Midfielder,44.2,1113,12.4
Odilon Kossounou,Atalanta,it Serie A,DF,Defensive Centre-back,44.2,1125,12.5
Morgan Guilavogui,St. Pauli,de Bundesliga,FW,Target Man / Physical Striker,44.2,1807,20.1
Emil Holm,Bologna,it Serie A,DF,Ball-winning Midfielder,44.2,1137,12.6
Gabriel Strefezza,Como,it Serie A,FW,Wide Midfielder / Winger,44.1,2619,29.1
Maximilian Beier,Dortmund,de Bundesliga,FW,Clinical Striker,44.1,1591,17.7
Lameck Banda,Lecce,it Serie A,FW,Wide Midfielder / Winger,44.0,610,6.8
Iago Aspas,Celta Vigo,es La Liga,FW,Creative Attacking Midfielder,44.0,1745,19.4
Edmond Tapsoba,Leverkusen,de Bundesliga,DF,Defensive Centre-back,43.9,2507,27.9
Pedro Díaz,Rayo Vallecano,es La Liga,MF,Wide Midfielder / Winger,43.9,1211,13.5
Bilal Nadir,Marseille,fr Ligue 1,MF,Box-to-box Midfielder,43.9,383,4.3
Oumar Diakité,Reims,fr Ligue 1,FW,Wide Midfielder / Winger,43.9,1628,18.1
Stefan Bajcetic,Las Palmas,es La Liga,MF,Defensive Midfielder,43.9,969,10.8
Benjamin Henrichs,RB Leipzig,de Bundesliga,DF,Ball-winning Midfielder,43.9,935,10.4
Mario Götze,Eint Frankfurt,de Bundesliga,MF,Box-to-box Midfielder,43.9,1542,17.1
Ruben Loftus-Cheek,Milan,it Serie A,MF,Defensive Midfielder,43.9,1037,11.5
Désiré Doué,Paris S-G,fr Ligue 1,FW,Creative Attacking Midfielder,43.8,1730,19.2
Kevin De Bruyne,Manchester City,eng Premier League,MF,Creative Attacking Midfielder,43.8,1702,18.9
Luca Mazzitelli,Como,it Serie A,MF,Box-to-box Midfielder,43.8,335,3.7
Gaëtan Laborde,Nice,fr Ligue 1,FW,Clinical Striker,43.8,1829,20.3
Jordan Pefok,Union Berlin,de Bundesliga,FW,Target Man / Physical Striker,43.8,908,10.1
Nicolás Domínguez,Nott'ham Forest,eng Premier League,MF,Ball-winning Midfielder,43.7,1963,21.8
Dany Mota,Monza,it Serie A,FW,Target Man / Physical Striker,43.6,2104,23.4
Chrislain Matsima,Augsburg,de Bundesliga,DF,Defensive Centre-back,43.6,2551,28.3
Josha Vagnoman,Stuttgart,de Bundesliga,DF,Defensive Midfielder,43.6,1834,20.4
Tariq Lamptey,Brighton,eng Premier League,DF,Fullback / Wing-back,43.5,860,9.6
Eberechi Eze,Crystal Palace,eng Premier League,MF,Creative Attacking Midfielder,43.5,2588,28.8
Devyne Rensch,Roma,it Serie A,DF,Ball-winning Midfielder,43.5,469,5.2
Álvaro djaló,Athletic Club,es La Liga,FW,Wide Midfielder / Winger,43.4,659,7.3
Loïc Bade,Sevilla,es La Liga,DF,Defensive Centre-back,43.4,2686,29.8
Adrià Pedrosa,Sevilla,es La Liga,DF,Defensive Midfielder,43.3,2298,25.5
Coba da Costa,Getafe,es La Liga,MF,Wide Midfielder / Winger,43.3,1006,11.2
Sofiane Diop,Nice,fr Ligue 1,MF,Creative Attacking Midfielder,43.3,1064,11.8
Facundo Buonanotte,Leicester City,eng Premier League,FW,Wide Midfielder / Winger,43.3,1523,16.9
Mario Pašalić,Atalanta,it Serie A,MF,Box-to-box Midfielder,43.2,1967,21.9
Lovro Majer,Wolfsburg,de Bundesliga,MF,Creative Attacking Midfielder,43.2,304,3.4
Cody Gakpo,Liverpool,eng Premier League,FW,Creative Attacking Midfielder,43.1,1935,21.5
Kingsley Coman,Bayern Munich,de Bundesliga,FW,Creative Attacking Midfielder,43.1,1282,14.2
Sávio,Manchester City,eng Premier League,FW,Creative Attacking Midfielder,43.1,1766,19.6
Juanmi,Getafe,es La Liga,FW,Target Man / Physical Striker,43.1,696,7.7
Jonny Evans,Manchester Utd,eng Premier League,DF,Defensive Centre-back,43.0,315,3.5
Natan,Betis,es La Liga,DF,Defensive Centre-back,43.0,2175,24.2
Saúl Coco,Torino,it Serie A,DF,Defensive Centre-back,43.0,2845,31.6
Pierrick Capelle,Angers,fr Ligue 1,MF,Ball-winning Midfielder,42.9,483,5.4
Sergi Canós,Valencia,es La Liga,MF,Wide Midfielder / Winger,42.9,370,4.1
Callum Hudson-Odoi,Nott'ham Forest,eng Premier League,FW,Wide Midfielder / Winger,42.9,2194,24.4
Sam Beukema,Bologna,it Serie A,DF,Defensive Centre-back,42.9,3012,33.5
Michel Aebischer,Bologna,it Serie A,MF,Ball-winning Midfielder,42.9,724,8.0
Adam Marušić,Lazio,it Serie A,DF,Ball-playing Centre-back,42.9,2337,26.0
Manolis Saliakas,St. Pauli,de Bundesliga,MF,Defensive Midfielder,42.9,2314,25.7
Carlos Martín,Alavés,es La Liga,FW,Wide Midfielder / Winger,42.9,1333,14.8
Konstantinos Koulierakis,Wolfsburg,de Bundesliga,DF,Defensive Centre-back,42.8,2468,27.4
Carles Pérez,Getafe,es La Liga,MF,Wide Midfielder / Winger,42.8,1431,15.9
Tino Kadewere,Nantes,fr Ligue 1,MF,Wide Midfielder / Winger,42.8,512,5.7
Kyle Walker,Manchester City,eng Premier League,DF,Defensive Centre-back,42.8,970,10.8
Oladapo Afolayan,St. Pauli,de Bundesliga,FW,Wide Midfielder / Winger,42.8,1639,18.2
Danel Sinani,St. Pauli,de Bundesliga,FW,Wide Midfielder / Winger,42.7,1250,13.9
Jacopo Fazzini,Empoli,it Serie A,MF,Wide Midfielder / Winger,42.7,1383,15.4
Aleksandr Golovin,Monaco,fr Ligue 1,MF,Box-to-box Midfielder,42.6,1153,12.8
Marvin Friedrich,Gladbach,de Bundesliga,DF,Defensive Centre-back,42.6,989,11.0
Manuel Ugarte Ribeiro,Manchester Utd,eng Premier League,MF,Ball-winning Midfielder,42.6,1785,19.8
Walid Cheddira,Espanyol,es La Liga,FW,Target Man / Physical Striker,42.5,640,7.1
Jonathan David,Lille,fr Ligue 1,FW,Clinical Striker,42.5,2554,28.4
Leon Goretzka,Bayern Munich,de Bundesliga,MF,Box-to-box Midfielder,42.4,1325,14.7
Isco,Betis,es La Liga,MF,Creative Attacking Midfielder,42.4,1547,17.2
Thierry Correia,Valencia,es La Liga,DF,Ball-winning Midfielder,42.4,768,8.5
Lucas Torró,Osasuna,es La Liga,MF,Defensive Midfielder,42.3,2957,32.9
Julien Le Cardinal,Brest,fr Ligue 1,DF,Defensive Centre-back,42.3,1378,15.3
Ibrahima Sissoko,Bochum,de Bundesliga,MF,Defensive Midfielder,42.3,2610,29.0
Derek Cornelius,Marseille,fr Ligue 1,DF,Defensive Centre-back,42.2,1420,15.8
Tyrone Mings,Aston Villa,eng Premier League,DF,Defensive Centre-back,42.2,1120,12.4
Phil Foden,Manchester City,eng Premier League,MF,Creative Attacking Midfielder,42.2,1777,19.7
Marko Arnautović,Inter,it Serie A,FW,Clinical Striker,42.2,527,5.9
Morgan Gibbs-White,Nott'ham Forest,eng Premier League,MF,Wide Midfielder / Winger,42.2,2803,31.1
Amar Dedić,Marseille,fr Ligue 1,DF,Box-to-box Midfielder,42.2,314,3.5
Ramón Terrats,Getafe,es La Liga,MF,Wide Midfielder / Winger,42.2,1219,13.5
Ryan Sessegnon,Fulham,eng Premier League,FW,Creative Attacking Midfielder,42.1,580,6.4
Nelson Weiper,Mainz 05,de Bundesliga,FW,Clinical Striker,42.1,704,7.8
Ondrej Duda,Hellas Verona,it Serie A,MF,Ball-winning Midfielder,42.1,2395,26.6
Carlos Alcaraz,Everton,eng Premier League,FW,Creative Attacking Midfielder,42.1,764,8.5
Budu Zivzivadze,Heidenheim,de Bundesliga,FW,Wide Midfielder / Winger,42.1,958,10.6
Jonas Martin,Brest,fr Ligue 1,MF,Ball-winning Midfielder,42.0,496,5.5
Amine Harit,Marseille,fr Ligue 1,MF,Creative Attacking Midfielder,42.0,519,5.8
Max Moerstedt,Hoffenheim,de Bundesliga,FW,Target Man / Physical Striker,42.0,451,5.0
Fredrik Jensen,Augsburg,de Bundesliga,MF,Defensive Midfielder,42.0,763,8.5
Mattia Zaccagni,Lazio,it Serie A,FW,Wide Midfielder / Winger,41.9,2686,29.8
Leon Bailey,Aston Villa,eng Premier League,FW,Wide Midfielder / Winger,41.9,1139,12.7
Djaoui Cissé,Rennes,fr Ligue 1,MF,Ball-winning Midfielder,41.9,1121,12.5
Alexandre Lacazette,Lyon,fr Ligue 1,FW,Clinical Striker,41.9,2051,22.8
Christantus Uche,Getafe,es La Liga,FW,Wide Midfielder / Winger,41.9,2486,27.6
Pontus Almqvist,Parma,it Serie A,FW,Wide Midfielder / Winger,41.9,1112,12.4
Raúl Jiménez,Fulham,eng Premier League,FW,Clinical Striker,41.8,2494,27.7
Emmanuel Gyasi,Empoli,it Serie A,DF,Defensive Midfielder,41.8,3217,35.7
Antony,Betis,es La Liga,FW,Creative Attacking Midfielder,41.8,1362,15.1
Gianluca Caprari,Monza,it Serie A,MF,Wide Midfielder / Winger,41.8,1651,18.3
Wesley Saïd,Lens,fr Ligue 1,FW,Target Man / Physical Striker,41.8,905,10.1
Gaetano Oristanio,Venezia,it Serie A,FW,Wide Midfielder / Winger,41.7,2315,25.7
