name,team,league,position,role,overall,minutes,90s
Héctor Fort,Barcelona,es La Liga,DF,Ball-winning Midfielder,20.3,585,6.5
Timo Werner,Tottenham,eng Premier League,FW,Creative Attacking Midfielder,20.3,516,5.7
Igor Matanovic,Eint Frankfurt,de Bundesliga,FW,Clinical Striker,20.2,312,3.5
Tanguy Nianzou,Sevilla,es La Liga,DF,Defensive Centre-back,20.2,518,5.8
Jacob Bruun Larsen,Stuttgart,de Bundesliga,MF,Creative Attacking Midfielder,20.2,414,4.6
Kevin Zeroli,Monza,it Serie A,MF,Target Man / Physical Striker,20.1,395,4.4
Dominic Solanke,Tottenham,eng Premier League,FW,Clinical Striker,20.1,2201,24.5
Jadon Sancho,Chelsea,eng Premier League,FW,Creative Attacking Midfielder,19.9,1764,19.6
Pablo Rosario,Nice,fr Ligue 1,MF,Defensive Midfielder,19.9,1775,19.7
Antoniu,Espanyol,es La Liga,FW,Wide Midfielder / Winger,19.8,1022,11.4
Maxime Bernauer,Saint-Étienne,fr Ligue 1,DF,Defensive Centre-back,19.8,763,8.5
Ibrahim Sangaré,Nott'ham Forest,eng Premier League,MF,Ball-winning Midfielder,19.8,590,6.6
Anrie Chase,Stuttgart,de Bundesliga,DF,Defensive Centre-back,19.7,734,8.2
Liberato Cacace,Empoli,it Serie A,MF,Defensive Midfielder,19.6,2230,24.8
Juan Berrocal,Getafe,es La Liga,DF,Defensive Centre-back,19.6,1063,11.8
Jean Mattéo Bahoya,Eint Frankfurt,de Bundesliga,MF,Wide Midfielder / Winger,19.6,921,10.2
Karol Mets,St. Pauli,de Bundesliga,DF,Defensive Centre-back,19.4,900,10.0
Facundo Medina,Lens,fr Ligue 1,DF,Ball-winning Midfielder,19.4,2543,28.3
Alessandro Vogliacco,Parma,it Serie A,DF,Defensive Centre-back,19.3,772,8.6
José María Giménez,Atlético Madrid,es La Liga,DF,Defensive Centre-back,19.3,1999,22.2
Ibrahima Niane,Angers,fr Ligue 1,FW,Clinical Striker,19.2,943,10.5
Rodrigo Muniz,Fulham,eng Premier League,FW,Clinical Striker,19.2,964,10.7
Guela Doué,Strasbourg,fr Ligue 1,DF,Ball-winning Midfielder,19.2,2717,30.2
Máximo Perrone,Como,it Serie A,MF,Ball-winning Midfielder,19.2,1857,20.6
Bazoumana Touré,Hoffenheim,de Bundesliga,FW,Creative Attacking Midfielder,19.1,609,6.8
Stefan Posch,Bologna,it Serie A,DF,Ball-winning Midfielder,19.0,714,7.9
Jacob Ramsey,Aston Villa,eng Premier League,FW,Wide Midfielder / Winger,18.9,1623,18.0
Unai Gómez,Athletic Club,es La Liga,MF,Target Man / Physical Striker,18.9,1284,14.3
Cesare Casadei,Torino,it Serie A,MF,Target Man / Physical Striker,18.8,1017,11.3
Enric Franquesa,Leganés,es La Liga,DF,Ball-playing Centre-back,18.8,616,6.8
Ferland Mendy,Real Madrid,es La Liga,DF,Defensive Centre-back,18.8,1005,11.2
Ryan Yates,Nott'ham Forest,eng Premier League,MF,Defensive Midfielder,18.8,1915,21.3
Jean-Ricner Bellegarde,Wolves,eng Premier League,MF,Wide Midfielder / Winger,18.7,1677,18.6
Anass Zaroury,Lens,fr Ligue 1,FW,Creative Attacking Midfielder,18.7,1405,15.6
Marco Komenda,Holstein Kiel,de Bundesliga,DF,Defensive Centre-back,18.6,1307,14.5
Junior Ndiaye,Montpellier,fr Ligue 1,FW,Target Man / Physical Striker,18.5,441,4.9
Armin Gigovic,Holstein Kiel,de Bundesliga,MF,Wide Midfielder / Winger,18.5,1895,21.1
Toni Martínez,Alavés,es La Liga,FW,Clinical Striker,18.4,1012,11.2
Ricardo Pereira,Leicester City,eng Premier League,DF,Ball-winning Midfielder,18.2,388,4.3
